Car,price,details,post_date
"Nissan Murano, 3.5 լ, լիաքարշ, 2006 թ., գազ","$7,000 ","Վանաձոր, 2006 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Chevrolet Cruze, 1.4 լ, 2017 թ.","$10,600 ","Մալաթիա Սեբաստիա, 2017 թ., 100,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Mazda 3, 2.5 լ, 2021 թ.","$18,400 ","Գյումրի, 2021 թ., 16,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Toyota Camry, 2.5 լ, 2018 թ.","$23,500 ","Աջափնյակ, 2018 թ., 66,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Volkswagen Passat, 2.5 լ, 2012 թ., գազ","$10,900 ","Քանաքեռ Զեյթուն, 2012 թ., 102,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"BMW 5 Series, 3.5 լ, լիաքարշ, 2010 թ.","$11,000 ","Էրեբունի, 2010 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Ford Fusion (North America), 2.0 լ, լիաքարշ, 2019 թ.","$16,500 ","Մասիս, 2019 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"BMW 5 Series, 2.5 լ, 2003 թ., գազ","$7,900 ","Էրեբունի, 2003 թ., 204,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Toyota RAV4, 2.5 լ, 2018 թ.","$20,500 ","Գյումրի, 2018 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"BMW X7, 3.0 լ, դիզել, լիաքարշ, 2020 թ.","40,000,000 ֏ ","Մասիս, 2020 թ., 105,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Nissan Tiida, 1.6 լ, 2008 թ., գազ","$6,000 ","Հրազդան, 2008 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$4,900 ","Մալաթիա Սեբաստիա, 1999 թ., 334,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Ford Escape, 3.0 լ, լիաքարշ, 2005 թ., գազ","$10,200 ","Մասիս, 2005 թ., 145,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Mercedes-Benz CLS-Class, 5.5 լ, 2007 թ., գազ","$17,000 ","Շենգավիթ, 2007 թ., 185,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Mitsubishi Outlander, 3.0 լ, 2007 թ., գազ","$8,999 ","Նոր Նորք, 2007 թ., 130,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Infiniti QX4, 3.5 լ, լիաքարշ, 2002 թ., գազ","$8,300 ","Սիսիան, 2002 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Mazda CX-9, 2.5 լ, լիաքարշ, 2018 թ.","$28,700 ","Արաբկիր, 2018 թ., 110,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Nissan Rogue, 2.5 լ, լիաքարշ, 2018 թ.","$18,300 ","Եղվարդ, 2018 թ., 73,054 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:26"
"Ford Transit, 2.4 լ, դիզել, 2004 թ.","$10,800 Դիլեր","Արտաշատ, 2004 թ., 230,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Mercedes-Benz C-Class, 1.8 լ, 1996 թ., գազ","$4,100 ","Կենտրոն, 1996 թ., 270,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Lexus LX, 5.7 լ, լիաքարշ, 2014 թ., գազ","$56,000 ","Ավան, 2014 թ., 115,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Kia Seltos, 2.0 լ, լիաքարշ, 2021 թ.","$29,500 ","Հրազդան, 2021 թ., 3000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Volkswagen Golf ունիվերսալ, 2.0 լ, 2004 թ., գազ","$4,800 ","Շենգավիթ, 2004 թ., 185,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Volkswagen Jetta, 2.5 լ, 2011 թ., գազ","$8,800 ","Շենգավիթ, 2011 թ., 115,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Lexus LX, 5.7 լ, լիաքարշ, 2008 թ., գազ","$48,000 Շտապ","Նոր Նորք, 2008 թ., 148,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Hyundai Sonata, 2.5 լ, 2020 թ.","$22,400 ","Ավան, 2020 թ., 92,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Nissan Rogue, 2.5 լ, լիաքարշ, 2019 թ.","$18,000 ","Դավիթաշեն, 2019 թ., 62,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Mercedes-Benz E-Class, 3.2 լ, 2001 թ.","$7,300 ","Դավիթաշեն, 2001 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Chevrolet Malibu, 1.5 լ, 2018 թ.","$13,000 ","Աջափնյակ, 2018 թ., 191,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Opel Zafira, 1.6 լ, 1999 թ., գազ","$5,200 ","Արարատ, 1999 թ., 330,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Volvo S40, 2.4 լ, 2007 թ., գազ","$5,500 ","Արարատ, 2007 թ., 249,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:25"
"Toyota FJ Cruiser, 4.0 լ, լիաքարշ, 2006 թ., գազ","$24,300 ","Դավիթաշեն, 2006 թ., 175,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Infiniti M37, 3.7 լ, 2011 թ., գազ","$16,500 ","Դավիթաշեն, 2011 թ., 118,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Toyota Corolla, 1.8 լ, 2011 թ.","$12,500 ","Շենգավիթ, 2011 թ., 84,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Mitsubishi Colt ունիվերսալ, 1.5 լ, 2006 թ., գազ","$5,200 ","Շենգավիթ, 2006 թ., 210,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Mitsubishi Airtrek, 2.0 լ, 2004 թ., գազ","$7,100 ","Այնթապ, 2004 թ., 120,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Mitsubishi Montero Sport, 3.5 լ, լիաքարշ, 2004 թ., գազ","$10,000 ","Դավիթաշեն, 2004 թ., 135,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"RAM 1500 փիքափ, 3.6 լ, լիաքարշ, 2019 թ., գազ","$50,000 ","Նոր Նորք, 2019 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Hyundai Veloster հետչբեք, 1.6 լ, 2014 թ.","$7,700 ","Արմավիր, 2014 թ., 127,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"VAZ (Lada) 2107, 1.6 լ, 2005 թ., գազ","$3,500 ","Աբովյան, 2005 թ., 130,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Lexus GX460, 4.6 լ, լիաքարշ, 2022 թ.","$70,000 ","Նոր Նորք, 2022 թ., 15,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Toyota Camry, 3.5 լ, 2007 թ., գազ","$10,000 ","Շենգավիթ, 2007 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Toyota Camry, 2.5 լ, 2019 թ.","$26,500 ","Աջափնյակ, 2019 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ, 1999 թ.","$3,600 ","Սևան, 1999 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"GAZ (ГАЗ) 24 Volga, 2.4 լ, 1992 թ., գազ","580,000 ֏ ","Էջմիածին, 1992 թ., 76,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Volkswagen Passat, 1.8 լ, 2002 թ., գազ","$5,000 ","Չարենցավան, 2002 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"BMW X5, 4.4 լ, լիաքարշ, 2002 թ., գազ","$9,000 ","Աշտարակ, 2002 թ., 400,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:24"
"Nissan Teana, 2.3 լ, 2006 թ., գազ","2,400,000 ֏ ","Գորիս, 2006 թ., 125,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"VAZ (Lada) 2106, 1.6 լ, 2003 թ., գազ","900,000 ֏ ","Եղեգնաձոր, 2003 թ., 150,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Kia Optima, 2.4 լ, 2019 թ.","$12,950 ","Էրեբունի, 2019 թ., 125,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Volkswagen Golf հետչբեք, 1.6 լ, 1998 թ., գազ","$4,000 ","Նորք Մարաշ, 1998 թ., 420,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Toyota Camry, 2.5 լ, 2010 թ., գազ","$9,600 ","Վանաձոր, 2010 թ., 270,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Toyota Sequoia, 4.7 լ, լիաքարշ, 2001 թ., գազ","$13,500 ","Քանաքեռ Զեյթուն, 2001 թ., 174,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Nissan Rogue, 1.5 լ, լիաքարշ, 2022 թ.","$26,000 ","Արմավիր, 2022 թ., 2000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Kia Optima, 2.4 լ, 2019 թ., գազ","7,200,000 ֏ ","Մալաթիա Սեբաստիա, 2019 թ., 50,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:23"
"Opel Astra հետչբեք, 1.6 լ, 1999 թ., գազ","$4,800 ","Ավան, 1999 թ., 288,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Lexus RX, 3.5 լ, լիաքարշ, 2020 թ.","$62,000 ","Դավիթաշեն, 2020 թ., 57,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Kia Forte, 2.0 լ, 2018 թ., 2018 թ.","$9,000 Դիլեր","Ճանապարհին, 2018 թ., 50,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Mercedes-Benz E-Class, 3.5 լ, 2007 թ.","$14,000 ","Նոր Խարբերդ, 2007 թ., 90,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"BMW 3 Series, 2.2 լ, 2004 թ., գազ","$7,400 ","Գյումրի, 2004 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"BMW 5 Series, 2.5 լ, 1993 թ., գազ","$3,800 ","Էրեբունի, 1993 թ., 209,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Mercedes-Benz B-Class հետչբեք, 1.8 լ, 2011 թ.","$9,500 ","Էջմիածին, 2011 թ., 87,300 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Ford Fusion (North America), 1.5 լ, 2020 թ.","$16,000 ","Քանաքեռ Զեյթուն, 2020 թ., 42,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Lexus RX, 3.0 լ, լիաքարշ, 2001 թ., գազ","$8,500 ","Արաբկիր, 2001 թ., 176,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"VAZ (Lada) 2107, 1.7 լ, 2012 թ.","$5,200 ","Արմավիր, 2012 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:22"
"Mercedes-Benz S-Class, 3.2 լ, 2000 թ., գազ","$8,500 ","Մալաթիա Սեբաստիա, 2000 թ., 85,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Lexus RX, 3.5 լ, 2010 թ., գազ","$18,500 Դիլեր","Ավան, 2010 թ., 140,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Lexus IS, 2.0 լ, 2017 թ.","$29,500 ","Արաբկիր, 2017 թ., 118,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Kia Forte, 2.0 լ, 2019 թ.","$16,900 ","Կենտրոն, 2019 թ., 44,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Mercedes-Benz C-Class, 2.2 լ, 1995 թ., գազ","2,000,000 ֏ ","Կենտրոն, 1995 թ., 281,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Lexus GX, 4.7 լ, լիաքարշ, 2007 թ., գազ","$23,000 ","Էջմիածին, 2007 թ., 160,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Hyundai Sonata, 2.4 լ, 2018 թ.","$16,400 ","Կենտրոն, 2018 թ., 105,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Mazda CX-9, 3.7 լ, լիաքարշ, 2010 թ., գազ","$9,900 ","Փարաքար, 2010 թ., 150,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:21"
"Nissan Tiida, 1.5 լ, 2005 թ., գազ","$6,500 ","Շենգավիթ, 2005 թ., 165,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"GAZ (ГАЗ) 3110 Volga, 2.1 լ, 2003 թ., գազ","450,000 ֏ ","Աշտարակ, 2003 թ., 180,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Kia Optima, 2.4 լ, 2020 թ.","$20,500 ","Աջափնյակ, 2020 թ., 72,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Mercedes-Benz ML, 3.2 լ, լիաքարշ, 2001 թ., գազ","$8,500 Դիլեր","Աջափնյակ, 2001 թ., 149,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Land Rover Discovery Sport, 2.0 լ, լիաքարշ, 2017 թ.","$30,000 ","Կենտրոն, 2017 թ., 46,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Opel Zafira, 1.6 լ, 2004 թ., գազ","$5,000 ","Քանաքեռ Զեյթուն, 2004 թ., 225,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"UAZ (УАЗ) 452, 2.6 լ, լիաքարշ, 1986 թ.","$8,200 Դիլեր","Ավան, 1986 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"BMW 5 Series, 2.8 լ, լիաքարշ, 2016 թ.","$22,000 ","Նոր Նորք, 2016 թ., 115,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Peugeot Bipper, 1.4 լ, 2011 թ.","$6,700 ","Ավան, 2011 թ., 210,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Toyota Corolla, 1.8 լ, 2017 թ., գազ","$16,800 ","Էրեբունի, 2017 թ., 70,880 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Kia Forte, 2.0 լ, 2019 թ.","$14,500 ","Նոր Նորք, 2019 թ., 70,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Ford Explorer, 2.3 լ, լիաքարշ, 2020 թ.","$50,000 ","Գյումրի, 2020 թ., 17,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Mercedes-Benz V-Class, 2.0 լ, դիզել, լիաքարշ, 2023 թ.","€115,000 ","Ճանապարհին, 2023 թ., 50 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Hyundai Elantra, 2.0 լ, 2019 թ.","$13,300 ","Կենտրոն, 2019 թ., 58,500 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"BMW 3 Series, 2.0 լ, 2006 թ.","$6,100 ","Վայք, 2006 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Mazda 3 հետչբեք, 2.3 լ, 2009 թ., գազ","$6,900 ","Մալաթիա Սեբաստիա, 2009 թ., 165,345 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:20"
"Mercedes-Benz C-Class ունիվերսալ, 2.0 լ, 1998 թ., գազ","$3,800 ","Էրեբունի, 1998 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Mercedes-Benz C-Class, 2.2 լ, 1996 թ., գազ","$4,100 ","Գյումրի, 1996 թ., 230,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"VAZ (Lada) 2114 հետչբեք, 1.5 լ, 2006 թ., գազ","$2,900 ","Էրեբունի, 2006 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"BMW 5 Series, 2.5 լ, 2005 թ.","$7,000 ","Քանաքեռ Զեյթուն, 2005 թ., 202,330 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"UAZ (УАЗ) Hunter, 2.7 լ, լիաքարշ, 2012 թ., գազ","$8,700 ","Վարդենիս, 2012 թ., 87,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Toyota Alphard, 2.4 լ, 2012 թ.","$15,500 ","Աջափնյակ, 2012 թ., 70,055 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"BMW X5, 3.0 լ, լիաքարշ, 2004 թ., գազ","$8,500 ","Աշտարակ, 2004 թ., 300,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Mazda 6, 2.5 լ, 2018 թ.","$15,500 ","Արմավիր, 2018 թ., 148,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"ErAZ 762 ունիվերսալ, 1991 թ., գազ","750,000 ֏ ","Շենգավիթ, 1991 թ., 100,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"VAZ (Lada) Kalina, 1.6 լ, 2005 թ., գազ","$2,500 ","Արմավիր, 2005 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Nissan Sentra, 2.0 լ, 2020 թ.","$13,300 ","Էրեբունի, 2020 թ., 56,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Mercedes-Benz ML, 3.5 լ, լիաքարշ, 2007 թ., գազ","$12,000 ","Էրեբունի, 2007 թ., 198,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Mercedes-Benz C-Class, 1.8 լ, 1994 թ., գազ","$3,499 ","Աջափնյակ, 1994 թ., 450,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Chevrolet Cruze հետչբեք, 1.4 լ, 2017 թ.","$9,600 ","Մալաթիա Սեբաստիա, 2017 թ., 74,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Volkswagen Passat, 1.8 լ, 2001 թ.","$5,000 ","Սևան, 2001 թ., 178,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Toyota Camry, 2.5 լ, 2020 թ.","$27,500 ","Կենտրոն, 2020 թ., 83,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Tesla Model Y, էլեկտրական, լիաքարշ, 2021 թ.","$41,000 Դիլեր","Աջափնյակ, 2021 թ., 19,700 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"Mazda CX-5, 2.5 լ, լիաքարշ, 2022 թ.","$35,500 Դիլեր","Աջափնյակ, 2022 թ., 7000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:19"
"BMW 2 Series կուպե, 2.0 լ, 2017 թ.","$24,300 ","Նոր Նորք, 2017 թ., 129,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Porsche Cayenne, 3.2 լ, լիաքարշ, 2005 թ., գազ","$11,000 ","Դիլիջան, 2005 թ., 269,860 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Mercedes-Benz W124, 2.2 լ, դիզել, 1989 թ.","$2,600 ","Մալաթիա Սեբաստիա, 1989 թ., 267,000 կմ, Դիզել","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Toyota Land Cruiser, 4.5 լ, լիաքարշ, 1993 թ., գազ","$8,500 ","Դիլիջան, 1993 թ., 269,860 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"MINI Cooper S Countryman ունիվերսալ, 1.6 լ, լիաքարշ, 2012 թ.","$11,500 ","Կենտրոն, 2012 թ., 77,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Volkswagen Touareg, 4.2 լ, լիաքարշ, 2004 թ., գազ","$7,500 ","Վանաձոր, 2004 թ., 275,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"BMW 5 Series, 2.8 լ, 2000 թ., գազ","$6,500 ","Արգել, 2000 թ., 260,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Kia Forte, 2.0 լ, 2017 թ.","$12,800 ","Էրեբունի, 2017 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Dodge Caravan, 3.6 լ, 2015 թ.","$14,000 ","Արգել, 2015 թ., 109,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Opel Vectra, 2.0 լ, 1995 թ., գազ","500,000 ֏ ","Տաշիր, 1995 թ., 277,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Kia Optima, 2.4 լ, 2017 թ.","$12,000 Դիլեր","Էրեբունի, 2017 թ., 110 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Kia Forte կուպե, 2.4 լ, 2010 թ.","$7,800 Դիլեր","Էրեբունի, 2010 թ., 92,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Porsche Cayenne, 3.2 լ, լիաքարշ, 2005 թ., գազ","$13,500 ","Աբովյան, 2005 թ., 199,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Toyota Alphard, 2.4 լ, 2005 թ.","$14,800 ","Աշտարակ, 2005 թ., 103,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:18"
"Kia Optima, 2.4 լ, 2019 թ.","$14,000 Դիլեր","Կենտրոն, 2019 թ., 55,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Kia Forte, 2.0 լ, 2019 թ.","$17,000 ","Աբովյան, 2019 թ., 41,600 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Kia Optima, 2.4 լ, 2019 թ.","$14,000 Դիլեր","Մալաթիա Սեբաստիա, 2019 թ., 65,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"VAZ (Lada) Priora, 1.6 լ, 2011 թ., գազ","$4,500 Դիլեր","Էջմիածին, 2011 թ., 650,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"VAZ (Lada) Priora, 1.6 լ, 2016 թ., գազ","$5,800 Դիլեր","Էջմիածին, 2016 թ., 190,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"VAZ (Lada) Priora հետչբեք, 1.6 լ, 2011 թ.","$7,000 Դիլեր","Էջմիածին, 2011 թ., 56,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Toyota Yaris հետչբեք, 1.5 լ, 2013 թ.","$13,000 ","Էրեբունի, 2013 թ., 7700 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Honda Accord, 1.5 լ, 2021 թ.","$34,000 Դիլեր","Մասիս, 2021 թ., 2453 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Mazda CX-9, 2.5 լ, լիաքարշ, 2022 թ.","$35,000 Շտապ","Արաբկիր, 2022 թ., 6100 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"VAZ (Lada) Priora, 1.6 լ, 2016 թ.","$5,100 Դիլեր","Էջմիածին, 2016 թ., 42,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"GAZ (ГАЗ) ГАЗель, 2.7 լ, 2004 թ., գազ","1,250,000 ֏ ","Արտաշատ, 2004 թ., 10,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Volkswagen ID.3 հետչբեք, էլեկտրական, 2022 թ.","$19,900 Դիլեր","Քանաքեռ Զեյթուն, 2022 թ., 15 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Mercedes-Benz 190 (W201), 1.8 լ, 1991 թ., գազ","$3,500 ","Արտաշատ, 1991 թ., 376,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Toyota bZ4X, էլեկտրական, 2023 թ.","$29,300 Դիլեր","Աջափնյակ, 2023 թ., 10 կմ, էլեկտրական","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"VAZ (Lada) 2121 Niva, 1.7 լ, լիաքարշ, 2008 թ., գազ","$5,200 ","Աբովյան, 2008 թ., 200,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Opel Zafira, 2.2 լ, 2005 թ.","$8,300 ","Գեղանիստ, 2005 թ., 170,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Toyota Ipsum, 2.4 լ, 2001 թ., գազ","$7,300 ","Մասիս, 2001 թ., 320,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"BMW 3 Series, 2.0 լ, լիաքարշ, 2017 թ.","$22,500 ","Քանաքեռ Զեյթուն, 2017 թ., 77,000 կմ, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
"Toyota Camry, 2.5 լ, 2016 թ., գազ","$16,700 ","Նոր Նորք, 2016 թ., 82,000 մղոն, Բենզին","Երկուշաբթի, Ապրիլ 15, 2024 11:17"
